"Journal Data Filtered By:  Selected Categories: MATHEMATICAL & COMPUTATIONAL BIOLOGY Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2024 JIF,JIF Quartile,2024 JCI,% of Citable OA
"Wiley Interdisciplinary Reviews-Computational Molecular Science","WIRES COMPUT MOL SCI","WILEY","1759-0876","1759-0884","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","12,176","27","Q1","3.1","37.17"%,
"BRIEFINGS IN BIOINFORMATICS","BRIEF BIOINFORM","OXFORD UNIV PRESS","1467-5463","1477-4054","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","27,354","7.7","Q1","1.89","51.72"%,
"IEEE Journal of Biomedical and Health Informatics","IEEE J BIOMED HEALTH","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2168-2194","2168-2208","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","20,045","6.8","Q1","1.84","10.98"%,
"COMPUTERS IN BIOLOGY AND MEDICINE","COMPUT BIOL MED","PERGAMON-ELSEVIER SCIENCE LTD","0010-4825","1879-0534","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","33,200","6.3","Q1","1.65","18.51"%,
"BioData Mining","BIODATA MIN","BMC","1756-0381","1756-0381","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,456","6.1","Q1","1.33","100"%,
"Research Synthesis Methods","RES SYNTH METHODS","CAMBRIDGE UNIV PRESS","1759-2879","1759-2887","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","8,706","6.1","Q1","1.27","65.57"%,
"Annual Review of Biomedical Data Science","ANNU REV BIOMED DA S","ANNUAL REVIEWS","2574-3414","2574-3414","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","745","6","Q1","1.78","44.07"%,
"BIOINFORMATICS","BIOINFORMATICS","OXFORD UNIV PRESS","1367-4803","1367-4811","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","179,068","5.4","Q1","1.44","79.51"%,
"Interdisciplinary Sciences-Computational Life Sciences","INTERDISCIP SCI","SPRINGER HEIDELBERG","1913-2751","1867-1462","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,456","3.9","Q1","1.16","6.52"%,
"Frontiers in Bioinformatics","FRONT BIOINFORM","FRONTIERS MEDIA SA","N/A","2673-7647","MATHEMATICAL & COMPUTATIONAL BIOLOGY","ESCI","1,025","3.9","Q1","0.73","98.62"%,
"GENETIC EPIDEMIOLOGY","GENET EPIDEMIOL","WILEY","0741-0395","1098-2272","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","6,306","3.8","Q1","0.8","43.12"%,
"PLoS Computational Biology","PLOS COMPUT BIOL","PUBLIC LIBRARY SCIENCE","1553-734X","1553-7358","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","42,510","3.6","Q1","1.04","99.82"%,
"Database-The Journal of Biological Databases and Curation","DATABASE-OXFORD","OXFORD UNIV PRESS","1758-0463","1758-0463","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","6,088","3.6","Q1","0.85","95.14"%,
"npj Systems Biology and Applications","NPJ SYST BIOL APPL","NATURE PORTFOLIO","N/A","2056-7189","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,253","3.5","Q1","1.05","100"%,
"BMC BIOINFORMATICS","BMC BIOINFORMATICS","BMC","1471-2105","1471-2105","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","51,590","3.3","Q1","0.87","99.79"%,
"Molecular Informatics","MOL INFORM","WILEY-V C H VERLAG GMBH","1868-1743","1868-1751","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","2,204","3.1","Q1","0.76","29.66"%,
"JOURNAL OF MOLECULAR GRAPHICS & MODELLING","J MOL GRAPH MODEL","ELSEVIER SCIENCE INC","1093-3263","1873-4243","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","13,303","3","Q2","0.93","4.33"%,
"Current Bioinformatics","CURR BIOINFORM","BENTHAM SCIENCE PUBL LTD","1574-8936","2212-392X","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,022","2.9","Q2","0.73","3.69"%,
"NAR Genomics and Bioinformatics","NAR GENOM BIOINFORM","OXFORD UNIV PRESS","N/A","2631-9268","MATHEMATICAL & COMPUTATIONAL BIOLOGY","ESCI","2,429","2.8","Q2","1.05","97.21"%,
"BIOMETRIKA","BIOMETRIKA","OXFORD UNIV PRESS","0006-3444","1464-3510","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","26,561","2.8","Q2","1.04","20.38"%,
"Bioinformatics Advances","BIOINFORM ADV","OXFORD UNIV PRESS","N/A","2635-0041","MATHEMATICAL & COMPUTATIONAL BIOLOGY","ESCI","952","2.8","Q2","0.68","97.85"%,
"MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING","MED BIOL ENG COMPUT","SPRINGER HEIDELBERG","0140-0118","1741-0444","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","7,720","2.6","Q2","0.63","13.9"%,
"Infectious Disease Modelling","INFECT DIS MODEL","KEAI PUBLISHING LTD","N/A","2468-0427","MATHEMATICAL & COMPUTATIONAL BIOLOGY","ESCI","1,654","2.5","Q2","0.94","96.6"%,
"Frontiers in Neuroinformatics","FRONT NEUROINFORM","FRONTIERS MEDIA SA","N/A","1662-5196","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","4,508","2.5","Q2","0.7","100"%,
"Cancer Informatics","CANCER INFORM","SAGE PUBLICATIONS LTD","N/A","1176-9351","MATHEMATICAL & COMPUTATIONAL BIOLOGY","ESCI","825","2.5","Q2","0.61","91.67"%,
"in silico Plants","IN SILICO PLANTS","OXFORD UNIV PRESS","N/A","2517-5025","MATHEMATICAL & COMPUTATIONAL BIOLOGY","ESCI","279","2.4","Q2","0.74","98.46"%,
"International Journal for Numerical Methods in Biomedical Engineering","INT J NUMER METH BIO","WILEY","2040-7939","2040-7947","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","2,741","2.4","Q2","0.62","36.99"%,
"SAR AND QSAR IN ENVIRONMENTAL RESEARCH","SAR QSAR ENVIRON RES","TAYLOR & FRANCIS LTD","1062-936X","1029-046X","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,422","2.4","Q2","0.59","2.65"%,
"JOURNAL OF MATHEMATICAL BIOLOGY","J MATH BIOL","SPRINGER HEIDELBERG","0303-6812","1432-1416","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","6,615","2.3","Q2","0.69","30.75"%,
"Frontiers in Computational Neuroscience","FRONT COMPUT NEUROSC","FRONTIERS MEDIA SA","N/A","1662-5188","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","4,265","2.3","Q2","0.62","99.51"%,
"Bio-Algorithms and Med-Systems","BIO-ALGORITHMS MED-S","INDEX COPERNICUS INT","1895-9091","1896-530X","MATHEMATICAL & COMPUTATIONAL BIOLOGY","ESCI","215","2.3","Q2","0.58","18.87"%,
"Frontiers in Systems Biology","FRONT SYST BIOL","FRONTIERS MEDIA SA","N/A","2674-0702","MATHEMATICAL & COMPUTATIONAL BIOLOGY","ESCI","200","2.3","Q2","0.37","98.33"%,
"Current Opinion in Systems Biology","CURR OPIN SYST BIOL","ELSEVIER","2452-3100","2452-3100","MATHEMATICAL & COMPUTATIONAL BIOLOGY","ESCI","1,087","2.2","Q2","0.78","49.21"%,
"Journal of Biological Dynamics","J BIOL DYNAM","TAYLOR & FRANCIS LTD","1751-3758","1751-3766","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,187","2.2","Q2","0.67","98.95"%,
"BULLETIN OF MATHEMATICAL BIOLOGY","B MATH BIOL","SPRINGER","0092-8240","1522-9602","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","5,715","2.2","Q2","0.65","42.57"%,
"Mathematical Modelling of Natural Phenomena","MATH MODEL NAT PHENO","EDP SCIENCES S A","0973-5348","1760-6101","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,109","2.1","Q3","0.84","86.27"%,
"BIOSTATISTICS","BIOSTATISTICS","OXFORD UNIV PRESS","1465-4644","1468-4357","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","4,938","2","Q3","0.82","22.7"%,
"International Journal of Biomathematics","INT J BIOMATH","WORLD SCIENTIFIC PUBL CO PTE LTD","1793-5245","1793-7159","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,598","2","Q3","0.68","0"%,
"JOURNAL OF THEORETICAL BIOLOGY","J THEOR BIOL","ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD","0022-5193","1095-8541","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","19,363","2","Q3","0.58","33.81"%,
"Network Modeling and Analysis in Health Informatics and Bioinformatics","NETW MODEL ANAL HLTH","SPRINGER WIEN","2192-6662","2192-6670","MATHEMATICAL & COMPUTATIONAL BIOLOGY","ESCI","620","2","Q3","0.57","10.07"%,
"Journal of Biomedical Semantics","J BIOMED SEMANT","BMC","2041-1480","2041-1480","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","682","2","Q3","0.52","100"%,
"JOURNAL OF COMPUTATIONAL NEUROSCIENCE","J COMPUT NEUROSCI","SPRINGER","0929-5313","1573-6873","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,703","2","Q3","0.4","32.39"%,
"STATISTICAL METHODS IN MEDICAL RESEARCH","STAT METHODS MED RES","SAGE PUBLICATIONS LTD","0962-2802","1477-0334","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","8,483","1.9","Q3","0.65","26.58"%,
"BIOSYSTEMS","BIOSYSTEMS","ELSEVIER SCI LTD","0303-2647","1872-8324","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","3,377","1.9","Q3","0.63","21.12"%,
"IET Systems Biology","IET SYST BIOL","INST ENGINEERING TECHNOLOGY-IET","1751-8849","1751-8857","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","517","1.9","Q3","0.43","94.03"%,
"BIOMETRICAL JOURNAL","BIOMETRICAL J","WILEY","0323-3847","1521-4036","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","4,655","1.8","Q3","0.62","49.81"%,
"STATISTICS IN MEDICINE","STAT MED","WILEY","0277-6715","1097-0258","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","33,763","1.8","Q3","0.61","35.83"%,
"MATHEMATICAL BIOSCIENCES","MATH BIOSCI","ELSEVIER SCIENCE INC","0025-5564","1879-3134","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","6,915","1.8","Q3","0.58","33.93"%,
"Journal of Integrative Bioinformatics","J INTEGR BIOINFORMAT","WALTER DE GRUYTER GMBH","N/A","1613-4516","MATHEMATICAL & COMPUTATIONAL BIOLOGY","ESCI","540","1.8","Q3","0.45","98.57"%,
"BIOMETRICS","BIOMETRICS","OXFORD UNIV PRESS","0006-341X","1541-0420","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","25,614","1.7","Q3","0.59","27.93"%,
"Algorithms for Molecular Biology","ALGORITHM MOL BIOL","BMC","N/A","1748-7188","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","899","1.7","Q3","0.39","100"%,
"JOURNAL OF COMPUTATIONAL BIOLOGY","J COMPUT BIOL","MARY ANN LIEBERT, INC","1066-5277","1557-8666","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","5,068","1.6","Q4","0.46","7.69"%,
"ACTA BIOTHEORETICA","ACTA BIOTHEOR","SPRINGER","0001-5342","1572-8358","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","700","1.5","Q4","0.51","22.58"%,
"Evolutionary Bioinformatics","EVOL BIOINFORM","SAGE PUBLICATIONS LTD","1176-9343","1176-9343","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,130","1.5","Q4","0.48","92.06"%,
"JOURNAL OF BIOLOGICAL SYSTEMS","J BIOL SYST","WORLD SCIENTIFIC PUBL CO PTE LTD","0218-3390","1793-6470","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","754","1.5","Q4","0.44","0"%,
"MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA","MATH MED BIOL","OXFORD UNIV PRESS","1477-8599","1477-8602","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","544","1.5","Q4","0.3","29.63"%,
"THEORY IN BIOSCIENCES","THEOR BIOSCI","SPRINGER","1431-7613","1611-7530","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","670","1.4","Q4","0.39","33.8"%,
"Quantitative Biology","QUANT BIOL","WILEY","2095-4689","2095-4697","MATHEMATICAL & COMPUTATIONAL BIOLOGY","ESCI","702","1.4","Q4","0.2","100"%,
"Statistics in Biopharmaceutical Research","STAT BIOPHARM RES","TAYLOR & FRANCIS INC","1946-6315","1946-6315","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","726","1.3","Q4","0.56","14.84"%,
"THEORETICAL POPULATION BIOLOGY","THEOR POPUL BIOL","ACADEMIC PRESS INC ELSEVIER SCIENCE","0040-5809","1096-0325","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","3,632","1.3","Q4","0.36","55.93"%,
"International Journal of Biostatistics","INT J BIOSTAT","WALTER DE GRUYTER GMBH","2194-573X","1557-4679","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,009","1.2","Q4","0.43","7.14"%,
"JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS","J AGR BIOL ENVIR ST","SPRINGER","1085-7117","1537-2693","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,591","1.1","Q4","0.41","43.27"%,
"Journal of Bioinformatics and Computational Biology","J BIOINF COMPUT BIOL","WORLD SCIENTIFIC PUBL CO PTE LTD","0219-7200","1757-6334","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","606","0.7","Q4","0.22","13.08"%,
"Statistics and Its Interface","STAT INTERFACE","INT PRESS BOSTON, INC","1938-7989","1938-7997","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","754","0.7","Q4","0.15","0"%,
"Statistical Applications in Genetics and Molecular Biology","STAT APPL GENET MOL","WALTER DE GRUYTER GMBH","2194-6302","1544-6115","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","1,335","0.4","Q4","0.21","10.71"%,
"Statistics in Biosciences","STAT BIOSCI","SPRINGER","1867-1764","1867-1772","MATHEMATICAL & COMPUTATIONAL BIOLOGY","ESCI","360","0.4","Q4","0.17","19.85"%,
"International Journal of Data Mining and Bioinformatics","INT J DATA MIN BIOIN","INDERSCIENCE ENTERPRISES LTD","1748-5673","1748-5681","MATHEMATICAL & COMPUTATIONAL BIOLOGY","SCIE","177","0.4","Q4","0.06","0"%,

Copyright (c) 2025 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
