"Journal Data Filtered By:  Selected Categories: COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2024 Selected Category Schema: WOS Selected Open Access: N Indicator: Default"
"International Journal of Multimedia Information Retrieval","INT J MULTIMED INF R","SPRINGER","2192-6611","2192-662X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","866","2.9","Q2","0.56","9.68"%,
"Applied Computational Intelligence and Soft Computing","APPL COMPUT INTELL S","WILEY","1687-9724","1687-9732","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","668","2.9","Q2","0.41","99.32"%,
"Data-Centric Engineering","DATA-CENTRIC ENG","CAMBRIDGE UNIV PRESS","N/A","2632-6736","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","415","2.8","Q3","0.64","100"%,
"Frontiers in Neurorobotics","FRONT NEUROROBOTICS","FRONTIERS MEDIA SA","1662-5218","1662-5218","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","4,063","2.8","Q3","0.59","100"%,
"IEEE Transactions on Games","IEEE T GAMES","IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC","2475-1502","2475-1510","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","929","2.8","Q3","0.59","8.92"%,
"JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS","J INTELL ROBOT SYST","SPRINGER","0921-0296","1573-0409","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","6,941","2.8","Q3","0.57","39.62"%,
"International Journal of Data Science and Analytics","INT J DATA SCI ANAL","SPRINGERNATURE","2364-415X","2364-4168","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","1,334","2.8","Q3","0.53","31.55"%,
"NEURAL PROCESSING LETTERS","NEURAL PROCESS LETT","SPRINGER","1370-4621","1573-773X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","5,499","2.8","Q3","0.47","27.06"%,
"International Journal of Machine Learning and Cybernetics","INT J MACH LEARN CYB","SPRINGER HEIDELBERG","1868-8071","1868-808X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","5,556","2.7","Q3","0.5","4.67"%,
"Evolving Systems","EVOL SYST-GER","SPRINGER HEIDELBERG","1868-6478","1868-6486","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,201","2.7","Q3","0.42","5.24"%,
"DATA & KNOWLEDGE ENGINEERING","DATA KNOWL ENG","ELSEVIER","0169-023X","1872-6933","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,736","2.6","Q3","0.56","25.44"%,
"AUTONOMOUS AGENTS AND MULTI-AGENT SYSTEMS","AUTON AGENT MULTI-AG","SPRINGER","1387-2532","1573-7454","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,201","2.6","Q3","0.44","52.03"%,
"Evolutionary Intelligence","EVOL INTELL","SPRINGER HEIDELBERG","1864-5909","1864-5917","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","1,998","2.6","Q3","0.4","5.25"%,
"PeerJ Computer Science","PEERJ COMPUT SCI","PEERJ INC","N/A","2376-5992","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","6,866","2.5","Q3","0.69","99.77"%,
"SOFT COMPUTING","SOFT COMPUT","SPRINGER","1432-7643","1433-7479","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","20,544","2.5","Q3","0.55","4.93"%,
"International Journal on Document Analysis and Recognition","INT J DOC ANAL RECOG","SPRINGER HEIDELBERG","1433-2833","1433-2825","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","826","2.5","Q3","0.37","23.21"%,
"Cognitive Systems Research","COGN SYST RES","ELSEVIER","2214-4366","1389-0417","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,001","2.4","Q3","0.64","26.8"%,
"International Journal of Interactive Multimedia and Artificial Intelligence","INT J INTERACT MULTI","UNIV INT RIOJA-UNIR","1989-1660","1989-1660","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,271","2.4","Q3","0.55","99.49"%,
"Multimodal Technologies and Interaction","MULTIMODAL TECHNOLOG","MDPI","N/A","2414-4088","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","1,676","2.4","Q3","0.51","100"%,
"Journal of Artificial Intelligence and Soft Computing Research","J ARTIF INTELL SOFT","SCIENDO","2083-2567","2449-6499","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","458","2.4","Q3","0.46","100"%,
"Progress in Artificial Intelligence","PROG ARTIF INTELL","SPRINGERNATURE","2192-6352","2192-6360","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","1,023","2.4","Q3","0.33","19.48"%,
"SIAM Journal on Imaging Sciences","SIAM J IMAGING SCI","SIAM PUBLICATIONS","1936-4954","1936-4954","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","4,169","2.3","Q3","0.75","0.93"%,
"EXPERT SYSTEMS","EXPERT SYST","WILEY","0266-4720","1468-0394","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","3,765","2.3","Q3","0.58","14.94"%,
"Memetic Computing","MEMET COMPUT","SPRINGER HEIDELBERG","1865-9284","1865-9292","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","718","2.3","Q3","0.57","12.66"%,
"AI EDAM-ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN ANALYSIS AND MANUFACTURING","AI EDAM","CAMBRIDGE UNIV PRESS","0890-0604","1469-1760","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","885","2.3","Q3","0.46","30.23"%,
"MACHINE VISION AND APPLICATIONS","MACH VISION APPL","SPRINGER","0932-8092","1432-1769","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,669","2.3","Q3","0.45","17.65"%,
"Intelligence & Robotics","INTELL ROBOT","OAE PUBLISHING INC","N/A","2770-3541","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","175","2.3","Q3","0.31","98.84"%,
"IET Image Processing","IET IMAGE PROCESS","WILEY","1751-9659","1751-9667","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","4,711","2.2","Q3","0.41","94.55"%,
"NEURAL COMPUTATION","NEURAL COMPUT","MIT PRESS","0899-7667","1530-888X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","21,670","2.1","Q3","0.62","12.66"%,
"ACM Transactions on Autonomous and Adaptive Systems","ACM T AUTON ADAP SYS","ASSOC COMPUTING MACHINERY","1556-4665","1556-4703","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","378","2.1","Q3","0.55","9.8"%,
"JOURNAL OF CHEMOMETRICS","J CHEMOMETR","WILEY","0886-9383","1099-128X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","3,936","2.1","Q3","0.53","30.57"%,
"Algorithms","ALGORITHMS","MDPI","N/A","1999-4893","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","5,386","2.1","Q3","0.46","100"%,
"Journal on Multimodal User Interfaces","J MULTIMODAL USER IN","SPRINGER","1783-7677","1783-8738","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","657","2.1","Q3","0.34","47.46"%,
"PATTERN ANALYSIS AND APPLICATIONS","PATTERN ANAL APPL","SPRINGER","1433-7541","1433-755X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,871","2","Q3","0.56","11.25"%,
"International Journal of Bio-Inspired Computation","INT J BIO-INSPIR COM","INDERSCIENCE ENTERPRISES LTD","1758-0366","1758-0374","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","738","2","Q3","0.47","0"%,
"CCF Transactions on Pervasive Computing and Interaction","CCF T PERVAS COMPUT","SPRINGERNATURE","2524-521X","2524-5228","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","296","2","Q3","0.36","7.14"%,
"Journal of Ambient Intelligence and Smart Environments","J AMB INTEL SMART EN","IOS PRESS","1876-1364","1876-1372","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","512","2","Q3","0.36","1.47"%,
"ACM Transactions on Asian and Low-Resource Language Information Processing","ACM T ASIAN LOW-RESO","ASSOC COMPUTING MACHINERY","2375-4699","2375-4702","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,386","2","Q3","0.35","2.03"%,
"Journal of Intelligent Systems","J INTELL SYST","DE GRUYTER POLAND SP Z O O","0334-1860","2191-026X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","946","2","Q3","0.35","100"%,
"KNOWLEDGE ENGINEERING REVIEW","KNOWL ENG REV","CAMBRIDGE UNIV PRESS","0269-8889","1469-8005","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,064","2","Q3","0.18","37.04"%,
"Natural Language Engineering","NAT LANG ENG","CAMBRIDGE UNIV PRESS","1351-3249","1469-8110","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,149","1.9","Q3","1.39","66.09"%,
"Swarm Intelligence","SWARM INTELL-US","SPRINGER","1935-3812","1935-3820","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","915","1.9","Q3","0.75","41.67"%,
"Information Technology and Control","INF TECHNOL CONTROL","KAUNAS UNIV TECHNOLOGY","1392-124X","1392-124X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","527","1.9","Q3","0.37","89.6"%,
"Advances in Human-Computer Interaction","ADV HUM-COMPUT INTER","WILEY","1687-5893","1687-5907","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","521","1.9","Q3","0.35","100"%,
"INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING","INT J INF TECH DECIS","WORLD SCIENTIFIC PUBL CO PTE LTD","0219-6220","1793-6845","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,431","1.8","Q3","0.49","0.85"%,
"IET Biometrics","IET BIOMETRICS","WILEY","2047-4938","2047-4946","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","749","1.8","Q3","0.33","93.24"%,
"JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE","J EXP THEOR ARTIF IN","TAYLOR & FRANCIS LTD","0952-813X","1362-3079","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,324","1.7","Q3","0.3","4.92"%,
"COMPUTATIONAL INTELLIGENCE","COMPUT INTELL-US","WILEY","0824-7935","1467-8640","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,561","1.7","Q3","0.29","8.38"%,
"COMPUTING AND INFORMATICS","COMPUT INFORM","SLOVAK ACAD SCIENCES INST INFORMATICS","1335-9150","1335-9150","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","561","1.7","Q3","0.23","0"%,
"NETWORK-COMPUTATION IN NEURAL SYSTEMS","NETWORK-COMP NEURAL","TAYLOR & FRANCIS INC","0954-898X","1361-6536","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","643","1.6","Q3","0.37","3.05"%,
"Natural Computing","NAT COMPUT","SPRINGER","1567-7818","1572-9796","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,085","1.6","Q3","0.35","44.14"%,
"ADCAIJ-Advances in Distributed Computing and Artificial Intelligence Journal","ADCAIJ-ADV DISTRIB C","EDICIONES UNIV SALAMANCA","2255-2863","2255-2863","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","227","1.6","Q3","0.13","96.43"%,
"JOURNAL OF MATHEMATICAL IMAGING AND VISION","J MATH IMAGING VIS","SPRINGER","0924-9907","1573-7683","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,162","1.5","Q4","0.47","39.19"%,
"ARTIFICIAL LIFE","ARTIF LIFE","MIT PRESS","1064-5462","1530-9185","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","922","1.5","Q4","0.39","17.98"%,
"Turkish Journal of Electrical Engineering and Computer Sciences","TURK J ELECTR ENG CO","Tubitak Scientific & Technological Research Council Turkey","1300-0632","1303-6203","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,975","1.5","Q4","0.25","13.27"%,
"International Journal of Knowledge-Based and Intelligent Engineering Systems","INT J KNOWL-BASED IN","IOS PRESS","1327-2314","1875-8827","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","255","1.5","Q4","0.17","2.25"%,
"JOURNAL OF HEURISTICS","J HEURISTICS","SPRINGER","1381-1231","1572-9397","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,252","1.4","Q4","0.32","29.41"%,
"Intelligenza Artificiale","INTELL ARTIF","IOS PRESS","1724-8035","2211-0097","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","158","1.4","Q4","0.18","0"%,
"PROCESAMIENTO DEL LENGUAJE NATURAL","PROCES LENG NAT","SOC ESPANOLA PROCESAMIENTO LENGUAJE NATURAL-SEPLN","1135-5948","1989-7553","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","270","1.3","Q4","0.47","0"%,
"ADAPTIVE BEHAVIOR","ADAPT BEHAV","SAGE PUBLICATIONS LTD","1059-7123","1741-2633","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","833","1.3","Q4","0.42","29.55"%,
"Foundations of Computing and Decision Sciences","FOUND COMPUT DECIS S","SCIENDO","0867-6356","2300-3405","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","225","1.3","Q4","0.3","100"%,
"IET Computer Vision","IET COMPUT VIS","WILEY","1751-9632","1751-9640","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","985","1.3","Q4","0.28","93.78"%,
"CONSTRAINTS","CONSTRAINTS","SPRINGER","1383-7133","1572-9354","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","391","1.3","Q4","0.24","46.67"%,
"International Journal of Computational Intelligence and Applications","INT J COMPUT INTELL","WORLD SCIENTIFIC PUBL CO PTE LTD","1469-0268","1757-5885","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","525","1.3","Q4","0.21","0"%,
"Cognitive Computation and Systems","COGN COMPUT SYST","WILEY","N/A","2517-7567","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","182","1.3","Q4","0.2","95.89"%,
"International Journal of Applied Mathematics and Computer Science","INT J AP MAT COM-POL","SCIENDO","1641-876X","2083-8492","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","974","1.2","Q4","0.44","99.29"%,
"IET Cyber-systems and Robotics","IET CYBER-SYST ROBOT","WILEY","N/A","2631-6315","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","246","1.2","Q4","0.27","96.43"%,
"Malaysian Journal of Computer Science","MALAYS J COMPUT SCI","UNIV MALAYA, FAC COMPUTER SCIENCE & INFORMATION TECH","0127-9084","0127-9084","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","201","1.2","Q4","0.21","0"%,
"Advances in Fuzzy Systems","ADV FUZZY SYST","WILEY","1687-7101","1687-711X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","263","1.1","Q4","0.5","100"%,
"International Arab Journal of Information Technology","INT ARAB J INF TECHN","ZARKA PRIVATE UNIV","1683-3198","1683-3198","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","815","1.1","Q4","0.27","75.17"%,
"Vietnam Journal of Computer Science","VIETNAM J COMPUT SCI","WORLD SCIENTIFIC PUBL CO PTE LTD","2196-8888","2196-8896","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","173","1.1","Q4","0.2","80"%,
"International Journal of Innovative Computing Information and Control","INT J INNOV COMPUT I","ICIC INT","1349-4198","1349-418X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","1,173","1.1","Q4","0.18","0"%,
"INTERNATIONAL JOURNAL OF PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE","INT J PATTERN RECOGN","WORLD SCIENTIFIC PUBL CO PTE LTD","0218-0014","1793-6381","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","2,006","1.1","Q4","0.18","1.33"%,
"ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE","ANN MATH ARTIF INTEL","SPRINGER","1012-2443","1573-7470","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,158","1","Q4","0.42","39.07"%,
"Argument & Computation","ARGUM COMPUT","IOS PRESS","1946-2166","1946-2174","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","253","1","Q4","0.27","100"%,
"JOURNAL OF INTELLIGENT & FUZZY SYSTEMS","J INTELL FUZZY SYST","IOS PRESS","1064-1246","1875-8967","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","10,970","1","Q4","0.25","1.28"%,
"Traitement du Signal","TRAIT SIGNAL","INT INFORMATION & ENGINEERING TECHNOLOGY ASSOC","0765-0019","1958-5608","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,153","1","Q4","0.23","29.55"%,
"AI COMMUNICATIONS","AI COMMUN","IOS PRESS","0921-7126","1875-8452","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","588","1","Q4","0.22","3.37"%,
"INTERNATIONAL JOURNAL OF UNCERTAINTY FUZZINESS AND KNOWLEDGE-BASED SYSTEMS","INT J UNCERTAIN FUZZ","WORLD SCIENTIFIC PUBL CO PTE LTD","0218-4885","1793-6411","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,647","1","Q4","0.19","1.16"%,
"International Journal on Artificial Intelligence Tools","INT J ARTIF INTELL T","WORLD SCIENTIFIC PUBL CO PTE LTD","0218-2130","1793-6349","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","692","1","Q4","0.19","3.35"%,
"International Journal of Cognitive Informatics and Natural Intelligence","INT J COGN INFORM NA","IGI GLOBAL","1557-3958","1557-3966","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","137","1","Q4","0.1","100"%,
"Genetic Programming and Evolvable Machines","GENET PROGRAM EVOL M","SPRINGER","1389-2576","1573-7632","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","711","0.9","Q4","0.28","48.98"%,
"Neural Network World","NEURAL NETW WORLD","ACAD SCIENCES CZECH REPUBLIC, INST COMPUTER SCIENCE","1210-0552","N/A","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","316","0.9","Q4","0.12","0"%,
"International Journal of Swarm Intelligence Research","INT J SWARM INTELL R","IGI GLOBAL","1947-9263","1947-9271","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","175","0.8","Q4","0.21","33.02"%,
"JOURNAL OF AUTOMATED REASONING","J AUTOM REASONING","SPRINGER","0168-7433","1573-0670","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","940","0.8","Q4","0.19","53.33"%,
"Intelligent Data Analysis","INTELL DATA ANAL","IOS PRESS","1088-467X","1571-4128","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","1,267","0.8","Q4","0.15","3.27"%,
"International Journal of Applied Pattern Recognition","INT J APPL PATTERN R","INDERSCIENCE ENTERPRISES LTD","2049-887X","2049-8888","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","134","0.8","Q4","0.15","0"%,
"Intelligent Decision Technologies-Netherlands","INTELL DECIS TECHNOL","IOS PRESS","1872-4981","1875-8843","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","341","0.8","Q4","0.13","1.48"%,
"Journal of Advanced Computational Intelligence and Intelligent Informatics","J ADV COMPUT INTELL","FUJI TECHNOLOGY PRESS LTD","1343-0130","1883-8014","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","626","0.8","Q4","0.13","95.49"%,
"JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING","J MULT-VALUED LOG S","OLD CITY PUBLISHING INC","1542-3980","1542-3999","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","533","0.7","Q4","0.49","0"%,
"Journal of Computer Science & Technology","J COMPUT SC TECH-ARG","UNIV NAC LA PLATA, FAC INFORMATICA","1666-6046","1666-6038","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","80","0.7","Q4","0.33","86.96"%,
"Advances in Electrical and Computer Engineering","ADV ELECTR COMPUT EN","UNIV SUCEAVA, FAC ELECTRICAL ENG","1582-7445","1844-7600","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","462","0.7","Q4","0.13","66.94"%,
"International Journal of Applied Metaheuristic Computing","INT J APPL METAHEUR","IGI GLOBAL","1947-8283","1947-8291","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","146","0.7","Q4","0.13","100"%,
"International Journal of Biometrics","INT J BIOMETRICS","INDERSCIENCE ENTERPRISES LTD","1755-8301","1755-831X","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","154","0.7","Q4","0.12","0"%,
"Journal of Logic Language and Information","J LOGIC LANG INFORM","SPRINGER","0925-8531","1572-9583","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","311","0.6","Q4","0.62","38.67"%,
"INTERNATIONAL JOURNAL OF SOFTWARE ENGINEERING AND KNOWLEDGE ENGINEERING","INT J SOFTW ENG KNOW","WORLD SCIENTIFIC PUBL CO PTE LTD","0218-1940","1793-6403","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","543","0.6","Q4","0.14","1.33"%,
"International Journal of Semantic Computing","INT J SEMANT COMPUT","WORLD SCIENTIFIC PUBL CO PTE LTD","1793-351X","1793-7108","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","161","0.6","Q4","0.08","2.3"%,
"JOURNAL OF COMPUTER AND SYSTEMS SCIENCES INTERNATIONAL","J COMPUT SYS SC INT+","PLEIADES PUBLISHING INC","1064-2307","1555-6530","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","414","0.5","Q4","0.1","0"%,
"Advances in Artificial Intelligence and Machine Learning","ADV ARTIF INTELL MAC","Shimur Publications","N/A","2582-9793","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","62","0.5","Q4","0.07","0"%,
"International Journal of Data Mining Modelling and Management","INT J DATA MIN MODEL","INDERSCIENCE ENTERPRISES LTD","1759-1163","1759-1171","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","89","0.5","Q4","0.06","0"%,
"Web Intelligence","WEB INTELL","IOS PRESS","2405-6456","2405-6464","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","96","0.3","Q4","0.04","1.15"%,
"International Journal of System Dynamics Applications","INT J SYST DYN APPL","IGI GLOBAL","2160-9772","2160-9799","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","ESCI","92","0.1","Q4","0.14","90.91"%,
"Natural Language Processing","NAT LANG PROCESS-UK","CAMBRIDGE UNIV PRESS","N/A","2977-0424","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","SCIE","3","N/A","N/A","N/A","65.31"%,

Copyright (c) 2025 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
